ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
0.18000001,45058,0.38,0.65899998,1,0.88,0.76499999
0.19,49200,0.36000001,0.75199997,1,0.85000002,0.78600001
0.31,40092,0.47,0.463,0,0.63,-0.138
0.25999999,41798,0.52999997,0.45199999,0,0.62,-0.161
0.14,61757,0.44999999,0.69,1,0.82999998,0.78399998
0.22,41657,0.36000001,0.71200001,1,0.85000002,0.76499999
0.23999999,41103,0.47,0.45699999,0,0.89999998,-0.048
0.31,37574,0.69999999,0.34799999,0,0.44999999,-0.456
0.20999999,44901,0.58999997,0.44499999,0,0.63,-0.37099999
0.13,43753,0.44999999,0.54900002,1,0.92000002,0.48300001
0.25,42022,0.55000001,0.528,1,0.69,0.81
0.15000001,55271,0.40000001,0.62800002,1,0.92000002,0.67400002
0.17,47213,0.47,0.68099999,1,0.79000002,0.43799999
0.20999999,45975,0.38,0.74299997,1,0.92000002,0.81699997
0.19,47013,0.44999999,0.71899998,1,0.94,0.65499997
0.23,37245,0.47999999,0.52600002,1,0.94999999,0.66399997
0.22,48873,0.44999999,0.65799999,1,0.88999999,0.537
0.2,48607,0.38,0.68400002,1,0.92000002,NA
0.23999999,46364,0.62,0.40700001,0,0.80000001,-0.398
0.20999999,47071,0.58999997,0.45300001,0,0.87,-0.77899998
0.38999999,34988,0.85000002,0.171,0,0.38999999,-0.54299998
0.2,55444,0.52999997,0.57599998,1,0.72000003,0.61799997
0.22,50174,0.56999999,0.44299999,0,0.81999999,-0.426
0.13,58163,0.49000001,0.67299998,1,0.94,0.43799999
0.25,50189,0.54000002,0.56800002,1,0.85000002,0.46000001
0.20999999,47458,0.47999999,0.55800003,1,0.92000002,0.66500002
0.27000001,40507,0.62,0.35800001,0,0.85000002,-0.41999999
0.25999999,40137,0.44999999,0.57099998,1,0.95999998,0.56300002
0.20999999,46497,0.36000001,1,1,0.74000001,0.70099998
0.28999999,35167,0.34,0.435,0,0.69999999,-0.07
0.19,41431,0.27000001,0.77999997,1,0.81,0.51200002
0.16,45346,0.34,1,1,0.77999997,0.46399999
0.25999999,40263,0.41,0.64399999,1,0.68000001,0.70300001
0.14,56304,0.61000001,0.43399999,0,0.81,-0.40599999
NA,NA,NA,NA,NA,NA,-0.412
0.23999999,44792,0.43000001,0.74000001,1,0.86000001,0.61299998
0.19,50176,0.70999998,0.25999999,0,0.76999998,-0.50599998
0.19,41714,0.54000002,0.44400001,0,0.89999998,-0.54299998
0.20999999,51125,0.54000002,0.47299999,0,0.83999997,-0.233
0.40000001,32140,0.88,0,0,0.33000001,-0.43700001
0.31999999,35868,0.89999998,0.107,0,0.30000001,-0.373
0.18000001,41747,0.49000001,0.55699998,1,0.94,0.40799999
0.11,53455,0.44,0.49200001,0,0.94,-0.13699999
0.22,38436,0.44,0.70899999,1,0.95999998,0.458
0.090000004,68575,0.57999998,0.57099998,1,0.86000001,0.47999999
0.07,67805,0.56,0.55500001,1,0.88,0.35600001
0.029999999,70266,0.54000002,0.53500003,1,0.91000003,0.43099999
0.18000001,42327,0.34999999,0.73100001,1,0.95999998,0.509
0.17,42641,0.44999999,0.55199999,1,0.95999998,0.47099999
0.19,44345,0.56999999,0.54699999,1,0.93000001,0.38100001
0.22,37364,0.49000001,0.49200001,0,0.94999999,-0.278
0.13,58883,0.58999997,0.43700001,0,0.86000001,-0.31299999
0.31999999,34279,0.69999999,0.29100001,0,0.73000002,-0.40700001
0.15000001,56209,0.56,0.579,1,0.86000001,0.44800001
0.16,54387,0.47999999,0.65399998,1,0.85000002,0.78299999
0.15000001,48466,0.47999999,0.44499999,0,0.87,-0.235
0.1,55331,0.44,0.67299998,1,0.94999999,0.39199999
0.1,55799,0.43000001,0.755,1,0.92000002,0.484
0.2,52473,0.64999998,0.46799999,0,0.82999998,-0.405
0.14,54358,0.61000001,0.347,0,0.81,-0.35600001
0.20999999,49565,0.41999999,0.69499999,1,0.74000001,0.86699998
0.16,50853,0.44999999,0.55000001,1,0.68000001,0.79699999
0.27000001,40617,0.34999999,0.65499997,1,0.75999999,0.91900003
0.22,44213,0.38,0.68800002,1,0.75,0.89200002
0.28,41247,0.46000001,0.55199999,1,0.63999999,1
0.36000001,33214,0.63999999,0.36700001,0,0.40000001,-0.40400001
0.19,43424,0.44999999,0.51200002,1,0.88,0.493
0.25999999,36058,0.28999999,0.82499999,1,0.94999999,0.70200002
0.19,44105,0.34,0.84899998,1,0.89999998,0.963
0.25999999,40431,0.37,0.67000002,1,0.85000002,0.61500001
0.25,37331,0.34,0.597,1,0.93000001,0.66100001
0.25,46861,0.56,0.428,0,0.68000001,-0.235
0.2,44886,0.37,0.69499999,1,0.88999999,0.685
0.13,61472,0.34,0.745,1,0.82999998,0.792
0.28999999,37206,0.43000001,0.60299999,1,0.74000001,0.69800001
0.37,35957,0.76999998,0.25299999,0,0.34999999,-0.41100001
